event_type,username,source_ip,status,failed_attempts,privilege_change,label
LOGIN,user01,192.168.1.10,SUCCESS,0,0,NORMAL
LOGIN,user02,192.168.1.11,SUCCESS,0,0,NORMAL
LOGIN,user03,192.168.1.12,SUCCESS,0,0,NORMAL
LOGIN,user04,192.168.1.13,SUCCESS,0,0,NORMAL
LOGIN,user05,192.168.1.14,SUCCESS,0,0,NORMAL
FILE_ACCESS,user01,192.168.1.15,SUCCESS,0,0,NORMAL
FILE_ACCESS,user02,192.168.1.16,SUCCESS,0,0,NORMAL
FILE_ACCESS,user03,192.168.1.17,SUCCESS,0,0,NORMAL
FILE_ACCESS,user04,192.168.1.18,SUCCESS,0,0,NORMAL
LOGIN,user06,192.168.1.19,FAILED,1,0,NORMAL
LOGIN,user07,192.168.1.20,FAILED,1,0,NORMAL
LOGIN,user08,192.168.1.21,FAILED,2,0,NORMAL
LOGIN,user09,192.168.1.22,FAILED,2,0,NORMAL
LOGIN,user10,192.168.1.23,FAILED,1,0,NORMAL
LOGIN,user11,192.168.1.24,FAILED,2,0,NORMAL
LOGIN,user12,192.168.1.25,SUCCESS,0,0,NORMAL
LOGIN,user13,192.168.1.26,SUCCESS,0,0,NORMAL
FILE_ACCESS,user14,192.168.1.27,SUCCESS,0,0,NORMAL
FILE_ACCESS,user15,192.168.1.28,SUCCESS,0,0,NORMAL
LOGIN,user16,192.168.1.29,FAILED,2,0,NORMAL
LOGIN,user17,192.168.1.30,FAILED,2,0,NORMAL
LOGIN,user18,192.168.1.31,SUCCESS,0,0,NORMAL
LOGIN,user19,192.168.1.32,SUCCESS,0,0,NORMAL
LOGIN,user20,192.168.1.33,FAILED,1,0,NORMAL
LOGIN,user21,192.168.1.34,SUCCESS,0,0,NORMAL
LOGIN,user22,192.168.1.35,SUCCESS,0,0,NORMAL
LOGIN,user23,192.168.1.36,FAILED,2,0,NORMAL
LOGIN,user24,192.168.1.37,SUCCESS,0,0,NORMAL
LOGIN,user25,192.168.1.38,SUCCESS,0,0,NORMAL
LOGIN,user26,192.168.1.39,FAILED,1,0,NORMAL
LOGIN,user27,192.168.1.40,SUCCESS,0,0,NORMAL
LOGIN,user28,192.168.1.41,FAILED,2,0,NORMAL
LOGIN,user29,192.168.1.42,SUCCESS,0,0,NORMAL
LOGIN,user30,192.168.1.43,SUCCESS,0,0,NORMAL
LOGIN,user31,192.168.1.44,FAILED,1,0,NORMAL
LOGIN,user32,192.168.1.45,SUCCESS,0,0,NORMAL
LOGIN,user33,192.168.1.46,SUCCESS,0,0,NORMAL
LOGIN,user34,192.168.1.47,FAILED,2,0,NORMAL
LOGIN,user35,192.168.1.48,SUCCESS,0,0,NORMAL
LOGIN,user36,192.168.1.49,SUCCESS,0,0,NORMAL
LOGIN,user37,192.168.1.50,FAILED,1,0,NORMAL
LOGIN,user38,192.168.1.51,SUCCESS,0,0,NORMAL
LOGIN,user39,192.168.1.52,SUCCESS,0,0,NORMAL
LOGIN,user40,192.168.1.53,FAILED,2,0,NORMAL
LOGIN,user41,192.168.1.54,SUCCESS,0,0,NORMAL
LOGIN,user42,192.168.1.55,SUCCESS,0,0,NORMAL
LOGIN,user43,192.168.1.56,FAILED,1,0,NORMAL
LOGIN,user44,192.168.1.57,SUCCESS,0,0,NORMAL
LOGIN,user45,192.168.1.58,SUCCESS,0,0,NORMAL
LOGIN,user46,192.168.1.59,FAILED,2,0,NORMAL
LOGIN,user47,192.168.1.60,SUCCESS,0,0,NORMAL
LOGIN,user48,192.168.1.61,SUCCESS,0,0,NORMAL
LOGIN,user49,192.168.1.62,FAILED,1,0,NORMAL
LOGIN,user50,192.168.1.63,SUCCESS,0,0,NORMAL
LOGIN,user51,192.168.1.64,FAILED,3,0,SUSPICIOUS
LOGIN,user52,192.168.1.65,FAILED,4,0,SUSPICIOUS
LOGIN,user53,192.168.1.66,FAILED,3,0,SUSPICIOUS
LOGIN,user54,192.168.1.67,FAILED,5,0,SUSPICIOUS
LOGIN,user55,192.168.1.68,FAILED,4,0,SUSPICIOUS
LOGIN,user56,192.168.1.69,FAILED,3,0,SUSPICIOUS
LOGIN,user57,192.168.1.70,FAILED,5,0,SUSPICIOUS
LOGIN,user58,192.168.1.71,FAILED,4,0,SUSPICIOUS
LOGIN,user59,192.168.1.72,FAILED,3,0,SUSPICIOUS
LOGIN,user60,192.168.1.73,FAILED,5,0,SUSPICIOUS
PRIVILEGE_CHANGE,user61,192.168.1.74,ADMIN_GRANTED,0,1,SUSPICIOUS
PRIVILEGE_CHANGE,user62,192.168.1.75,ADMIN_GRANTED,0,1,SUSPICIOUS
PRIVILEGE_CHANGE,user63,192.168.1.76,ADMIN_GRANTED,0,1,SUSPICIOUS
PRIVILEGE_CHANGE,user64,192.168.1.77,ADMIN_GRANTED,0,1,SUSPICIOUS
PRIVILEGE_CHANGE,user65,192.168.1.78,ADMIN_GRANTED,0,1,SUSPICIOUS
LOGIN,user66,10.0.0.10,FAILED,6,0,MALICIOUS
LOGIN,user67,10.0.0.11,FAILED,7,0,MALICIOUS
LOGIN,user68,10.0.0.12,FAILED,8,0,MALICIOUS
LOGIN,user69,10.0.0.13,FAILED,9,0,MALICIOUS
LOGIN,user70,10.0.0.14,FAILED,10,0,MALICIOUS
LOGIN,unknown,203.0.113.10,FAILED,7,0,MALICIOUS
LOGIN,unknown,203.0.113.11,FAILED,8,0,MALICIOUS
LOGIN,unknown,203.0.113.12,FAILED,9,0,MALICIOUS
